date,term,value
2025-01-22,Medicare,51.666666666666664
2025-01-23,Medicare,31.708333333333332
2025-01-24,Medicare,28.291666666666668
2025-01-25,Medicare,18.083333333333332
2025-01-26,Medicare,14.625
2025-01-27,Medicare,27.5
2025-01-28,Medicare,40.041666666666664
2025-01-29,Medicare,35.31578947368421
2025-01-22,Jazz vs Warriors,0.5
2025-01-23,Jazz vs Warriors,0.5833333333333334
2025-01-24,Jazz vs Warriors,0.0
2025-01-25,Jazz vs Warriors,0.041666666666666664
2025-01-26,Jazz vs Warriors,0.7083333333333334
2025-01-27,Jazz vs Warriors,0.0
2025-01-28,Jazz vs Warriors,1.2083333333333333
2025-01-29,Jazz vs Warriors,22.63157894736842
2025-01-22,Bucks,21.666666666666668
2025-01-23,Bucks,18.25
2025-01-24,Bucks,25.0
2025-01-25,Bucks,12.708333333333334
2025-01-26,Bucks,26.041666666666668
2025-01-27,Bucks,11.0
2025-01-28,Bucks,19.333333333333332
2025-01-29,Bucks,26.105263157894736
2025-01-22,Citizens Bank,61.0
2025-01-23,Citizens Bank,37.916666666666664
2025-01-24,Citizens Bank,40.041666666666664
2025-01-25,Citizens Bank,27.541666666666668
2025-01-26,Citizens Bank,20.75
2025-01-27,Citizens Bank,42.5
2025-01-28,Citizens Bank,49.625
2025-01-29,Citizens Bank,34.1578947368421
2025-01-22,Google Maps Gulf of Mexico,1.8333333333333333
2025-01-23,Google Maps Gulf of Mexico,0.7916666666666666
2025-01-24,Google Maps Gulf of Mexico,0.16666666666666666
2025-01-25,Google Maps Gulf of Mexico,0.9583333333333334
2025-01-26,Google Maps Gulf of Mexico,0.5416666666666666
2025-01-27,Google Maps Gulf of Mexico,0.625
2025-01-28,Google Maps Gulf of Mexico,48.458333333333336
2025-01-29,Google Maps Gulf of Mexico,23.05263157894737
